iter	RMSE
0	6087.85083
1	5225.814918
2	4381.018615
3	3691.74141
4	3146.285289
5	2806.430415
6	2482.039891
7	2241.305152
8	2097.740105
9	1983.783136
10	1895.37468
11	1810.6836
12	1762.010217
13	1703.955692
14	1651.696055
15	1593.420594
16	1532.938186
17	1490.622709
18	1474.411924
19	1452.424829
20	1404.648949
21	1377.787963
22	1328.113512
23	1298.626782
24	1276.881896
25	1246.971325
26	1226.56508
27	1204.954137
28	1193.964145
29	1187.157602
30	1179.235947
31	1161.938463
32	1131.690542
33	1117.903922
34	1106.055184
35	1094.12678
36	1082.527791
37	1079.305365
38	1048.183553
39	1019.866082
40	1010.177961
41	987.5131982
42	979.7792461
43	957.8163742
44	942.9001619
45	929.0876252
46	919.7665814
47	910.8277334
48	894.4290314
49	887.9067541
50	886.240287
51	875.9973106
52	871.010895
53	853.0719384
54	850.2012565
55	843.8268709
56	835.4811163
57	829.2026388
58	816.9603688
59	815.5118819
60	814.327827
61	810.9751137
62	806.7902188
63	795.2669355
64	787.3735531
65	781.6476883
66	770.4135918
67	767.3935698
68	758.8903051
69	756.7007295
70	755.3752493
71	747.7467845
72	740.4536236
73	731.8302354
74	723.33504
75	717.0283008
76	709.179137
77	701.128872
78	696.4981087
79	692.4325431
80	690.1990924
81	685.1449979
82	680.7882641
83	678.8609223
84	677.8928044
85	675.4864296
86	669.9108846
87	664.1270858
88	660.5709629
89	660.0237856
90	656.9719637
91	653.9719433
92	652.259112
93	651.6383644
94	648.6984582
95	648.3815162
96	646.4584138
97	644.5031444
98	636.9405317
99	633.8872364
100	629.5594115
101	624.3972825
102	621.1939564
103	620.2803912
104	617.9168351
105	617.5114941
106	615.1992602
107	611.1493305
108	608.1222097
109	606.6174409
110	605.2597881
111	601.5000772
112	597.7334228
113	595.1458351
114	594.2057431
115	593.1012695
116	592.0118448
117	591.5577291
118	589.8642042
119	587.7797547
120	587.4950811
121	583.7937122
122	583.5011343
123	582.4220121
124	581.1061667
125	580.1439586
126	579.0185579
127	578.5107409
128	577.5132078
129	577.329958
130	576.7567745
131	576.0237712
132	573.1744244
133	572.3461059
134	572.2188252
135	570.8079324
136	570.0455434
137	568.090117
138	566.8811864
139	566.2067238
140	564.2350899
141	563.1585131
142	562.8590302
143	562.1828596
144	559.9036847
145	559.6568369
146	558.158257
147	556.5602797
148	555.850131
149	555.1293902
150	553.8871309
151	553.3103434
152	552.950601
153	551.9645399
154	551.4667892
155	550.3992909
156	550.138412
157	549.1290608
158	548.5679629
159	548.226909
160	547.5984467
161	546.8170181
162	546.240745
163	545.6657423
164	544.8172962
165	544.4447146
166	543.9770523
167	543.5751801
168	542.9165015
169	542.0380874
170	541.9399645
171	541.5484606
172	540.6316318
173	540.4688766
174	540.110904
175	539.6926396
176	539.2651917
177	539.0809344
178	538.8708488
179	538.0355203
180	537.9074488
181	537.3322064
182	536.5142035
183	536.043017
184	535.7262346
185	535.1919541
186	534.6024631
187	534.5023887
188	534.32918
189	534.0170559
190	533.4913363
191	533.4044461
192	533.071268
193	532.6346229
194	532.4802111
195	532.3122486
196	531.9931477
197	531.5892044
198	531.496737
199	531.2465711
200	531.0604469
201	530.772052
202	530.4939705
203	530.4495655
204	530.3249971
205	530.169548
206	530.1011596
207	529.905324
208	529.7602414
209	529.4437128
210	529.4283483
211	529.3263089
212	529.027235
213	528.845933
214	528.809377
215	528.6615853
216	528.4761445
217	528.3579851
218	528.3291811
219	528.1649757
220	527.8495494
221	527.6395698
222	527.5457644
223	527.3398995
224	527.1373856
225	527.126934
226	526.9838812
227	526.8014954
228	526.4575062
229	526.3321271
230	526.0442486
231	525.9442657
232	525.7589933
233	525.5052237
234	525.4985265
235	525.3784243
236	525.3727233
237	525.262919
238	525.0879228
239	524.9373174
240	524.9070342
241	524.861293
242	524.6914738
243	524.6334876
244	524.5286269
245	524.3954425
246	524.3476673
247	524.1992326
248	524.0723625
249	523.9791969
