iter	Passed	Remaining
0	0	232
1	2	251
2	2	227
3	3	227
4	4	222
5	5	213
6	5	206
7	6	201
8	7	199
9	8	199
10	9	200
11	9	196
12	10	193
13	11	190
14	12	188
15	12	185
16	13	185
17	14	184
18	15	183
19	15	182
20	16	182
21	17	181
22	18	182
23	19	181
24	20	180
25	20	178
26	21	177
27	22	175
28	22	173
29	23	173
30	24	171
31	24	169
32	25	168
33	26	168
34	27	166
35	27	165
36	28	164
37	29	162
38	29	161
39	30	161
40	31	160
41	32	158
42	32	158
43	33	156
44	34	155
45	34	154
46	35	152
47	35	150
48	36	150
49	37	149
50	37	148
51	38	146
52	39	145
53	39	144
54	40	142
55	41	142
56	42	142
57	42	142
58	43	140
59	44	140
60	45	139
61	45	139
62	46	138
63	47	138
64	48	137
65	49	136
66	49	136
67	50	136
68	52	136
69	52	135
70	53	134
71	54	133
72	54	132
73	55	132
74	56	130
75	56	129
76	57	129
77	58	129
78	59	128
79	59	127
80	60	126
81	61	125
82	61	123
83	62	122
84	62	121
85	63	120
86	64	121
87	65	120
88	65	119
89	66	118
90	67	117
91	67	116
92	68	115
93	68	113
94	69	113
95	70	113
96	71	113
97	72	112
98	73	111
99	73	110
100	74	109
101	74	108
102	75	108
103	76	107
104	77	107
105	78	106
106	78	105
107	79	104
108	79	103
109	80	102
110	81	101
111	82	101
112	82	100
113	83	99
114	84	98
115	84	98
116	85	97
117	87	97
118	88	97
119	89	96
120	89	95
121	90	94
122	90	93
123	91	92
124	92	92
125	92	91
126	93	90
127	94	89
128	94	88
129	95	88
130	96	87
131	96	86
132	97	85
133	97	84
134	98	83
135	99	82
136	99	82
137	100	81
138	100	80
139	101	79
140	102	79
141	103	78
142	103	77
143	104	76
144	105	76
145	105	75
146	106	74
147	107	73
148	107	73
149	108	72
150	109	71
151	109	70
152	110	70
153	111	69
154	111	68
155	112	67
156	113	66
157	113	66
158	114	65
159	115	64
160	115	64
161	116	63
162	116	62
163	117	61
164	118	60
165	118	60
166	119	59
167	120	58
168	120	57
169	121	57
170	122	56
171	122	55
172	123	54
173	124	54
174	124	53
175	125	52
176	125	51
177	126	51
178	127	50
179	128	49
180	129	49
181	129	48
182	130	47
183	130	46
184	131	46
185	132	45
186	133	44
187	134	44
188	134	43
189	135	42
190	135	41
191	136	41
192	137	40
193	137	39
194	138	39
195	139	38
196	140	37
197	140	36
198	141	36
199	141	35
200	142	34
201	143	34
202	143	33
203	144	32
204	145	31
205	146	31
206	146	30
207	147	29
208	148	29
209	148	28
210	149	27
211	150	26
212	151	26
213	151	25
214	152	24
215	153	24
216	153	23
217	154	22
218	154	21
219	155	21
220	156	20
221	157	19
222	157	19
223	158	18
224	159	17
225	159	16
226	160	16
227	161	15
228	162	14
229	162	14
230	163	13
231	164	12
232	165	12
233	165	11
234	166	10
235	167	9
236	167	9
237	168	8
238	168	7
239	169	7
240	170	6
241	170	5
242	171	4
243	172	4
244	172	3
245	173	2
246	173	2
247	174	1
248	174	0
249	175	0
